annee,valeur,indicator,country
2025,,EG.ELC.ACCS.ZS,BF
2024,,EG.ELC.ACCS.ZS,BF
2023,21.7,EG.ELC.ACCS.ZS,BF
2022,19.5,EG.ELC.ACCS.ZS,BF
2021,19.0,EG.ELC.ACCS.ZS,BF
2020,18.5,EG.ELC.ACCS.ZS,BF
2019,17.6,EG.ELC.ACCS.ZS,BF
2018,14.4,EG.ELC.ACCS.ZS,BF
2017,17.0,EG.ELC.ACCS.ZS,BF
2016,16.6,EG.ELC.ACCS.ZS,BF
2015,16.2,EG.ELC.ACCS.ZS,BF
2014,19.2,EG.ELC.ACCS.ZS,BF
2013,15.4,EG.ELC.ACCS.ZS,BF
2012,15.1,EG.ELC.ACCS.ZS,BF
2011,14.8,EG.ELC.ACCS.ZS,BF
2010,13.1,EG.ELC.ACCS.ZS,BF
2009,12.6,EG.ELC.ACCS.ZS,BF
2008,12.5,EG.ELC.ACCS.ZS,BF
2007,12.0,EG.ELC.ACCS.ZS,BF
2006,11.6,EG.ELC.ACCS.ZS,BF
2005,11.1,EG.ELC.ACCS.ZS,BF
2004,10.7,EG.ELC.ACCS.ZS,BF
2003,11.4,EG.ELC.ACCS.ZS,BF
2002,9.9,EG.ELC.ACCS.ZS,BF
2001,9.5,EG.ELC.ACCS.ZS,BF
2000,9.1,EG.ELC.ACCS.ZS,BF
1999,6.9,EG.ELC.ACCS.ZS,BF
1998,8.10726451873779,EG.ELC.ACCS.ZS,BF
1997,7.61713981628418,EG.ELC.ACCS.ZS,BF
1996,7.1229362487793,EG.ELC.ACCS.ZS,BF
1995,6.62533283233643,EG.ELC.ACCS.ZS,BF
1994,6.12501001358032,EG.ELC.ACCS.ZS,BF
1993,6.1,EG.ELC.ACCS.ZS,BF
1992,,EG.ELC.ACCS.ZS,BF
1991,,EG.ELC.ACCS.ZS,BF
1990,,EG.ELC.ACCS.ZS,BF
1989,,EG.ELC.ACCS.ZS,BF
1988,,EG.ELC.ACCS.ZS,BF
1987,,EG.ELC.ACCS.ZS,BF
1986,,EG.ELC.ACCS.ZS,BF
1985,,EG.ELC.ACCS.ZS,BF
1984,,EG.ELC.ACCS.ZS,BF
1983,,EG.ELC.ACCS.ZS,BF
1982,,EG.ELC.ACCS.ZS,BF
1981,,EG.ELC.ACCS.ZS,BF
1980,,EG.ELC.ACCS.ZS,BF
1979,,EG.ELC.ACCS.ZS,BF
1978,,EG.ELC.ACCS.ZS,BF
1977,,EG.ELC.ACCS.ZS,BF
1976,,EG.ELC.ACCS.ZS,BF
1975,,EG.ELC.ACCS.ZS,BF
1974,,EG.ELC.ACCS.ZS,BF
1973,,EG.ELC.ACCS.ZS,BF
1972,,EG.ELC.ACCS.ZS,BF
1971,,EG.ELC.ACCS.ZS,BF
1970,,EG.ELC.ACCS.ZS,BF
1969,,EG.ELC.ACCS.ZS,BF
1968,,EG.ELC.ACCS.ZS,BF
1967,,EG.ELC.ACCS.ZS,BF
1966,,EG.ELC.ACCS.ZS,BF
1965,,EG.ELC.ACCS.ZS,BF
1964,,EG.ELC.ACCS.ZS,BF
1963,,EG.ELC.ACCS.ZS,BF
1962,,EG.ELC.ACCS.ZS,BF
1961,,EG.ELC.ACCS.ZS,BF
1960,,EG.ELC.ACCS.ZS,BF
